ID,Label,Gender,Origin
254,Edmond de Bruyn,M,Belgian
255,George Eekhoud,M,Belgian
256,Victor de Meyere,M,Belgian
257,Theodoor van Ryswyck,M,Belgian
258,Eugeen Zetternam,M,Belgian
259,Louis Gerrits,M,Belgian
260,Peter Frans Van Kerckhoven,M,Belgian
261,Pierre Hamp,M,French
262,Charles de Coster,M,Belgian
263,Joseph von Eichendorff,M,German
264,Jan van Ruusbroec,M,Belgian
265,Jan Luyken,M,Dutch
266,Thomas à Kempis,M,Dutch
267,Jacob van Maerlant,M,Belgian
268,Beekman,M,Dutch
267,Gottfried Keller,M,Swiss
268,Waling Dijkstra,M,Dutch 
268,Hendrik Zeger de Beijl,M,Dutch
269,Hugo Verriest,M,Belgian
270,Jan van Rijswijck,M,Belgian
271,Anton Chekhov,M,Russian
272,Leonid Andrejev,M,Russian
273,Alice Muriel Williamson,F,American
274,Charles Norris Williamson,M,English
275,Herman Bang,M,Danish
276,Julius de Geyter,M,Belgian
277,Ouida,F,English
278,Jan van Eyck,M,Belgian
279,Rogier van der Weyden,M,Belgian
280,Salomon van Ruysdael,M,Dutch
281,Gustaaf Vermeersch,M,Belgian
282,Jan Steen,M,Dutch
283,Josephine Giese,F,Dutch
284,Mary Augusta Ward,F,English
285,Fredrika Bremer,F,Swedish
286,Julius Vuylsteke,M,Belgian
287,Arthur Cornette,M,Belgian
288,Julius Sabbe,M,Belgian
289,Paul Fredericq,M,Belgian
290,Paul Heyse,M,German
291,Isaac de Costa,M,Dutch
292,Maurits Wagenvoort,M,Dutch
293,Immanuel Kant,M,German
294,Nestor de Tiere,M,Belgian
295,Maxim Gorky,M,Russian
296,Maria De Vleeschouwer-Verbraeken,F,Belgian
297,Pieter Ecrevisse,M,Belgian
298,Caesar Gezelle,M,Belgian
299,Alfred Tennysson,M,English
300,Désiré-Joseph Mercier,M,Belgian
301,H.H.J. Maas,M,Dutch
302,Jean-François Millet,M,French
303,Attie Nieboer,M,Dutch
304,Maria Van Ackere-Doolaeghe,F,Belgian
305,Marie Lievevrouw-Coopman,F,Belgian
306,Regina Cortebeeck,F,Belgian
307,Pieter Bruegel the Elder,M,Dutch
308,Jan Stobbaerts,M,Belgian
309,Jacob Jordaens,M,Belgian
310,Octave Feuillet,M,French
311,Jules Sandeau,M,French
312,Pierre Loti,M,French
313,Anthony van Dyk ,M,Dutch
314,Jean-Baptiste Corot,M,French
315,Ernest Meissonier,M,French
316,Dante Alighieri,M,Italian
317,Oscar Wilde,M,Irish
318,Marie Corelli,F,English
319,Hall Caine,M,English
320,Paul Bourget,M,French
321,Gabriele D'Annunzio,M,Italian
322,Hugo Beyerman,M,Belgian
323,Gustaaf Vermeylen,M,Belgian
324,Prosper van Langendonck,M,Belgian
325,Alfred Hegenscheidt,M,Belgian
326,Lodewijk van Deyssel,M,Dutch
327,Émile Claus,M,Belgian
328,Torquato Tasso,M,Italian
329,Monticelli,M,French / Italian
330,Emile Erens,M,Dutch
331,Émile Verhaeren,M,Belgian
332,Thomas Gray,M,English
333,Anna Ekker,F,Dutch
334,Mendelsohn,M,German
335,George Haspels,M,Dutch
336,Marie Marx-Koning,F,Dutch
337,Homerus,M,Greek
338,Auguste Villiers de l'Isle Adam,M,French
339,Matthias Grünewald,M,German
340,Willem die Madoc maecte,M,Belgian
341,Hieronymus Bosch,M,Dutch
342,Frederik van Eeden,M,Dutch
